category,term
candour,capital at risk
candour,your capital is at risk
candour,you may get back less
candour,value can go down
candour,go up and down
candour,down as well as up
candour,past performance
candour,not a reliable guide
candour,no guarantee
candour,may fall
candour,you may lose
candour,less than you invest
candour,less than you paid
candour,terms apply
candour,risk
candour,uncertain
candour,markets go up and down
candour,may be worth less
candour,investments can go down
puffery,best
puffery,leading
puffery,world-class
puffery,outstanding
puffery,exceptional
puffery,premier
puffery,unrivalled
puffery,greatest
puffery,ultimate
puffery,finest
puffery,perfect
puffery,revolutionary
puffery,market-leading
puffery,award-winning
puffery,top performer
puffery,number one
puffery,seamless
puffery,effortless
puffery,instantly
puffery,in seconds
puffery,the only
puffery,world's first
puffery,biggest
puffery,best-known
puffery,unique
puffery,don't miss out
puffery,now or never
puffery,act now
puffery,hurry
puffery,limited time
puffery,last chance
