term,hard
diversification,0
diversified,0
equities,1
equity,0
fixed income,1
fixed-income,1
multi-asset,1
oeic,1
derivatives,1
volatility,0
asset allocation,0
drawdown,1
yield,0
dividend,0
nav,1
kiid,1
kid,1
ocf,1
aer,1
compounding,0
etf,0
etfs,0
index fund,0
benchmark,0
liquidity,1
securities,1
gilts,1
bonds,0
capitalisation,1
esg,0
prospectus,1
tax wrapper,0
decumulation,1
accumulation,1
net of fees,0
basis points,1
alpha,1
beta,1
fractional shares,0
cfd,0
leverage,0
margin,0
sipp,0
lisa,0
ftse,0
allocation,0
rebalancing,1
exposure,1
holdings,0
mandate,1
stewardship,1
tracker fund,0
money market,1
aum,1
valuation,1
