dimension,cue,weight,source_note
ability,expertise,1.5,MDS(1995) operationalisation
ability,expert,1.2,MDS(1995) operationalisation
ability,experts,1.2,MDS(1995) operationalisation
ability,specialist,1.0,MDS(1995) operationalisation
ability,specialists,1.0,MDS(1995) operationalisation
ability,professional,1.0,MDS(1995) operationalisation
ability,professionals,1.0,MDS(1995) operationalisation
ability,track record,1.5,MDS(1995) operationalisation
ability,proven,1.2,MDS(1995) operationalisation
ability,performance,1.0,MDS(1995) operationalisation
ability,outperform,1.2,MDS(1995) operationalisation
ability,long-term growth,1.0,MDS(1995) operationalisation
ability,research,1.2,MDS(1995) operationalisation
ability,analysis,1.0,MDS(1995) operationalisation
ability,analysts,1.0,MDS(1995) operationalisation
ability,investment team,1.3,MDS(1995) operationalisation
ability,fund managers,1.3,MDS(1995) operationalisation
ability,portfolio managers,1.3,MDS(1995) operationalisation
ability,experience,1.0,MDS(1995) operationalisation
ability,years of experience,1.3,MDS(1995) operationalisation
ability,decades,1.0,MDS(1995) operationalisation
ability,established,1.0,MDS(1995) operationalisation
ability,founded,1.0,MDS(1995) operationalisation
ability,award-winning,1.3,MDS(1995) operationalisation
ability,award,1.0,MDS(1995) operationalisation
ability,rated,1.0,MDS(1995) operationalisation
ability,top performer,1.3,MDS(1995) operationalisation
ability,actively managed,1.2,MDS(1995) operationalisation
ability,active management,1.2,MDS(1995) operationalisation
ability,stock selection,1.0,MDS(1995) operationalisation
ability,due diligence,1.2,MDS(1995) operationalisation
ability,world-class,1.2,MDS(1995) operationalisation
ability,leading,1.0,MDS(1995) operationalisation
ability,skilled,1.0,MDS(1995) operationalisation
ability,knowledge,1.0,MDS(1995) operationalisation
ability,insight,1.0,MDS(1995) operationalisation
ability,deep research,1.3,MDS(1995) operationalisation
ability,expertise in,1.3,MDS(1995) operationalisation
ability,capable,1.0,MDS(1995) operationalisation
benevolence,your goals,1.5,MDS(1995) operationalisation
benevolence,your future,1.3,MDS(1995) operationalisation
benevolence,help you,1.3,MDS(1995) operationalisation
benevolence,helping,1.0,MDS(1995) operationalisation
benevolence,support,1.0,MDS(1995) operationalisation
benevolence,tailored,1.2,MDS(1995) operationalisation
benevolence,personalised,1.2,MDS(1995) operationalisation
benevolence,for you,0.8,MDS(1995) operationalisation
benevolence,your needs,1.3,MDS(1995) operationalisation
